N° Enr.;IDFamille;Libelle;Type;IDCategorie;ordre
1;1;PATES FRAICHES;1;18;0
2;2;LEGUMES SECS;1;16;0
3;3;HUILE DE TOURNESOL;1;17;0
4;4;FARINES;1;14;0
5;5;CHAMPIGNONS SECS;1;21;0
6;6;BOISSONS ET LIQUIDES;1;14;0
7;7;SAUCES ITALIENNES;1;19;0
8;8;BEURRES ET MARGARINES;1;17;0
9;9;POISSONS FRAIS;1;15;0
10;10;PATES SECHES;1;18;0
11;11;BISCUITS;1;14;0
12;12;FROMAGES FRAIS;1;22;0
13;13;CHAMPIGNONS EN BOITE;1;21;0
14;14;LEGUMES EN BOITE;1;16;0
15;15;CONFITURES;1;23;0
16;16;HUILES D'OLIVE;1;17;0
17;17;FROMAGES RÂPÉS;1;22;0
18;18;EPICES;1;14;0
19;19;FRUITS DE MER;1;15;0
20;20;CHARCUTERIE ITALIENNE;1;20;0
21;21;CONDIMENTS;1;19;0
22;22;SUCRE ET EDULCORANTS;1;14;0
23;23;CHARCUTERIE LOCALE;1;20;0
24;24;HUILES AROMATISEES;1;17;0
25;25;FROMAGES AFFINES;1;22;0
26;26;CAFE ET THE;1;14;0
27;27;CREMES ET LAITS;1;22;0
28;28;VINAIGRES;1;19;0
29;29;BOUILLONS ET FONDS;1;19;0
30;30;FRUITS SECS;1;14;0
31;31;OLIVES ET CÂPRES;1;16;0
32;32;MIEL;1;23;0
33;33;CONCENTRES ET COULIS;1;19;0
34;34;HERBES AROMATIQUES;1;16;0
35;35;SAUCES ASIATIQUES;1;19;0
36;36;CHOCOLAT ET CACAO;1;14;0
37;37;PRODUITS LAITIERS DIVERS;1;22;0
38;38;FRUITS AU SIROP;1;23;0
39;39;PLATS CUISINES;1;14;0
40;40;FARINES SPECIALES;1;14;0
41;41;SAUCES SPECIALES;1;19;0
42;42;GRAINES;1;14;0
43;43;AROMES ET COLORANTS;1;14;0
44;44;LEGUMES FRAIS;1;16;0
45;45;PATES SANS GLUTEN;1;18;0
46;46;LEVURES ET AMELIORANTS;1;14;0
47;47;POISSONS SURGELES;1;15;0
48;48;CHARCUTERIE SURGELEE;1;20;0
49;49;ANTIPASTI;1;16;0
50;50;TAPENADES ET PESTOS;1;19;0
