N° Enr.;IDMarque;Libelle
1;1;BARILLA
2;2;DE CECCO
3;3;RUMMO
4;4;MUTTI
5;5;CIRIO
6;6;GALBANI
7;7;PARMALAT
8;8;GRANA PADANO
9;9;PARMIGIANO REGGIANO
10;10;SAN PELLEGRINO
11;11;LAVAZZA
12;12;ILLY
13;13;FERRERO
14;14;KRAFT
15;15;HEINZ
16;16;KNORR
17;17;MAGGI
18;18;NESTLE
19;19;DIVELLA
20;20;AGNESI
21;21;SACLA
22;22;PONTI
23;23;MONINI
24;24;BERTOLLI
25;25;CARAPELLI
26;26;RIO MARE
27;27;NOSTROMO
28;28;SAN BENEDETTO
29;29;FERRARELLE
30;30;MULINO BIANCO
31;31;BAULI
32;32;MOTTA
33;33;TRE MARIE
34;34;LOACKER
35;35;VICENZI
36;36;ROBERTO
37;37;STERILGARDA
38;38;VALSOIA
39;39;ALPRO
40;40;SANTA MARIA
41;41;OLD EL PASO
42;42;TABASCO
43;43;MAILLE
44;44;AMORA
45;45;LESIEUR
46;46;PUGET
47;47;BONDUELLE
48;48;D'AUCY
49;49;CASILLO
50;50;CAPUTO
