N° Enr.;RefArticle;Designation;PrixAchat;PrixVente;QteStock;QteMin;TVA;IDFamille;IDMarque;Unite
1;ART001;SPAGHETTI N°5 500G BARILLA;12.50;16.00;120;20;20;10;1;U
2;ART002;PENNE RIGATE 500G BARILLA;12.50;16.00;95;20;20;10;1;U
3;ART003;FUSILLI 500G BARILLA;12.50;16.00;80;20;20;10;1;U
4;ART004;FARFALLE 500G BARILLA;13.00;17.00;65;15;20;10;1;U
5;ART005;TAGLIATELLE OEUF 500G DE CECCO;18.00;24.00;45;10;20;10;2;U
6;ART006;SPAGHETTI N°12 DE CECCO;16.50;22.00;70;15;20;10;2;U
7;ART007;POLPA DI POMODORO 400G MUTTI;9.50;13.50;150;30;20;33;4;U
8;ART008;DOUBLE CONCENTRE TOMATE 140G MUTTI;6.20;9.00;200;40;20;33;4;U
9;ART009;PASSATA DI POMODORO 700G MUTTI;14.00;19.50;110;25;20;33;4;U
10;ART010;PARMIGIANO REGGIANO AOP 24 MOIS 1KG;180.00;240.00;35;5;20;25;9;KG
11;ART011;GRANA PADANO AOP 16 MOIS 1KG;140.00;190.00;40;5;20;25;8;KG
12;ART012;MOZZARELLA DI BUFALA CAMPANA 125G;18.50;26.00;60;15;20;12;6;U
13;ART013;MASCARPONE 500G GALBANI;28.00;38.00;50;10;20;12;6;U
14;ART014;RICOTTA FRAICHE 250G GALBANI;16.00;22.50;40;10;20;12;6;U
15;ART015;GORGONZOLA DOP 1.5KG;130.00;175.00;15;3;20;25;6;KG
16;ART016;HUILE D'OLIVE EXTRA VIERGE 1L MONINI;75.00;98.00;85;15;20;16;23;L
17;ART017;HUILE D'OLIVE EXTRA VIERGE 5L BERTOLLI;320.00;410.00;30;5;20;16;24;U
18;ART018;HUILE DE TOURNESOL 5L LESIEUR;70.00;88.00;60;10;20;3;45;U
19;ART019;FARINE PIZZA TIPO 00 CAPUTO 25KG;220.00;285.00;45;8;20;40;50;SAC
20;ART020;FARINE MANITOBA CAPUTO 25KG;240.00;310.00;30;5;20;40;50;SAC
21;ART021;PESTO ALLA GENOVESE 190G BARILLA;22.00;30.00;75;15;20;50;1;U
22;ART022;PESTO ROSSO 190G BARILLA;22.00;30.00;60;15;20;50;1;U
23;ART023;VINAIGRE BALSAMIQUE DE MODENE 500ML PONTI;35.00;48.00;40;10;20;28;22;U
24;ART024;CREME DE BALSAMIQUE 250ML PONTI;28.00;39.00;55;10;20;28;22;U
25;ART025;OLIVES NOIRES DENOYAUTEES 4.2KG;95.00;130.00;25;5;20;31;47;BOITE
26;ART026;CAPRES AU VINAIGRE 1KG;45.00;62.00;30;5;20;31;21;BOITE
27;ART027;ARTICHAUTS A L'HUILE 2.5KG;140.00;190.00;18;4;20;49;21;BOITE
28;ART028;TOMATES SECHEES A L'HUILE 2.5KG;150.00;205.00;20;4;20;49;21;BOITE
29;ART029;CHAMPIGNONS DE PARIS ENTIERS 3/1;48.00;66.00;40;10;20;13;47;BOITE
30;ART030;CEPES SECS 500G EXTRA;260.00;350.00;12;2;20;5;21;U
31;ART031;THON A L'HUILE D'OLIVE 3X80G RIO MARE;32.00;44.00;90;20;20;9;26;PACK
32;ART032;FILETS D'ANCHOIS A L'HUILE 720G;110.00;150.00;22;5;20;9;26;BOITE
33;ART033;CAFE GRAINS ESPRESSO 1KG LAVAZZA;115.00;155.00;50;10;20;26;11;KG
34;ART034;CAFE GRAINS CREMA E AROMA 1KG LAVAZZA;105.00;142.00;45;10;20;26;11;KG
35;ART035;CAFE GRAINS ESPRESSO 1KG ILLY;160.00;215.00;30;8;20;26;12;KG
36;ART036;EAU MINERALE PETILLANTE 75CL SAN PELLEGRINO;11.00;16.00;180;30;20;6;10;BOUT
37;ART037;BISCUITS SAVOIARDI (BOUDOIRS) 400G VICENZI;22.00;30.00;65;15;20;11;35;U
38;ART038;NUTELLA 3KG SEAU FERRERO;195.00;255.00;25;5;20;15;13;SEAU
39;ART039;CREME LIQUIDE 35% MG 1L STERILGARDA;38.00;50.00;80;20;20;27;37;L
40;ART040;BEURRE GASTRONOMIQUE 82% 1KG;85.00;115.00;40;10;20;8;7;KG
